"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 02 16:00:39 BDT 2024","Sun Jun 02 16:00:51 BDT 2024","12418","All Test Suite","D:/SQA/Maven Project/WebAutomation-Rokomari/src/test/java/testcases","testcases.TestSelectProduct","testcases.TestSelectProduct","selectProduct","Select a book after filtering writer and categories"," Test Description : This test will try to select a specific writer,filter based on two categories,go to next page and selects a book"
"passed","Sat Jun 01 15:20:04 BDT 2024","Sat Jun 01 15:20:07 BDT 2024","2900","All Test Suite","D:/SQA/Maven Project/WebAutomation-Rokomari/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLogInWithInvalidPassword","testLogInWithInvalidPassword",""
"passed","Sun Jun 02 16:00:51 BDT 2024","Sun Jun 02 16:00:54 BDT 2024","2741","All Test Suite","D:/SQA/Maven Project/WebAutomation-Rokomari/src/test/java/testcases","testcases.TestMyCartPage","testcases.TestMyCartPage","myCartPage","My Cart Page","This test will try to go to my cart page"
"passed","Sat Jun 01 15:19:32 BDT 2024","Sat Jun 01 15:19:33 BDT 2024","707","All Test Suite","D:/SQA/Maven Project/WebAutomation-Rokomari/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLogInWithInvalidEmail","testLogInWithInvalidEmail",""
"passed","Sun Jun 02 16:00:59 BDT 2024","Sun Jun 02 16:01:03 BDT 2024","4173","All Test Suite","D:/SQA/Maven Project/WebAutomation-Rokomari/src/test/java/testcases","testcases.TestLogout","testcases.TestLogout","logOut","Sign out from the logged account","Test Description: Sign Out from account"
"passed","Sun Jun 02 16:00:54 BDT 2024","Sun Jun 02 16:00:59 BDT 2024","4790","All Test Suite","D:/SQA/Maven Project/WebAutomation-Rokomari/src/test/java/testcases","testcases.TestShippingPage","testcases.TestShippingPage","fillUpShippingForm","Shipping Page Test"," Test Description:This test will try to browse the shipping page andthen fill up the shipping info"
"passed","Sun Jun 02 16:00:35 BDT 2024","Sun Jun 02 16:00:39 BDT 2024","4377","All Test Suite","D:/SQA/Maven Project/WebAutomation-Rokomari/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithValidCredentials"," User log in with valid Credentials"," Test Add using allure: User log in with valid Credentials"
